! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character.
!
! The code of the species is "free". 
! ======================================================================
XC       #lostcarbon                                                  
C2H2     #ethyne                                                                                                                                                               
C3H4     #propyne                                                                                                                                      
C4H601   #1-butyne                                                                                                                                                               
C4H602   #2-butyne                                                                                                                                                        
AR0289   #mmCH3COCOCH(OH)C1H-O-C1(CH3)CHO                                                                                          DKKOE                    
AR0290   #mmc1Hc(CH3)c(OOH)cHcHc1CH3                                                                                               RH                            
AR0291   #mmc1Hc(CH3)c(O.)c(NO2)cHc1CH3                                                                                            1.RV                     
AR0292   #mmC1OCd(CH3)=CdHCOCdH=Cd1CH3                                                                                             UUKK                     
AR0293   #mmc1Hc(CH3)c(NO2)c(OH)c(OH)c1CH3                                                                                         RVOO                     
AR0294   #mmc1Hc(CH3)c(OO.)c(OH)cHc1CH3                                                                                            2.RO                     
AR0295   #mmCH3c1cHcHcHc(c1H)CO(OO.)                                                                                               3.RK                     
AR0296   #mmc1HcHcHc(OO.)cHc1CH3                                                                                                   2.R                      
AR0297   #mmC1H(OH)CH2-O-COC1(O.)CH3                                                                                               1.KOE                    
AR0298   #mmC1H(OH)CH2-O-COC1(OOH)CH3                                                                                              HKOE                     
AR0299   #mmC1O-O-CH2CH(ONO2)C1(O.)CH3                                                                                             1.NKE                    
AR0300   #mmC1O-O-CH2CH(ONO2)C1(OOH)CH3                                                                                            HNKE                     
AR0301   #mmC1H(OH)C(O.)(CH3)CO-O-C1HCH3                                                                                           1.KOE                    
AR0302   #mmC1H(OH)C(OOH)(CH3)CO-O-C1HCH3                                                                                          HKOE                     
AR0303   #mmC1O-O-CH(CH3)CH(ONO2)C1(O.)CH3                                                                                         1.NKE                    
AR0304   #mmC1O-O-CH(CH3)CH(ONO2)C1(OOH)CH3                                                                                        HNKE                     
AR0305   #mmc1Hc(NO2)c(OH)c(CH3)c(NO2)c1CH3                                                                                        RVVO                     
AR0306   #mmc1Hc(CH3)c(OO.)c(NO2)cHc1CH3                                                                                           2.RV                     
AR0307   #mmC1H(OH)COCdH=Cd(CH3)COC1(OO.)CH3                                                                                       2.UKKO                    
AR0308   #mmC1OC(OO.)(CH3)CH(ONO2)COCdH=Cd1CH3                                                                                     2.NUKK                    
AR0309   #mm-O2--O-C(CH3)(C1H(OH))C(OH)(OO.)Cd(OH)=Cd(NO2)C12CH3                                                                   2.UVOOOEE                    
AR0310   #mm-O2--O-C(CH3)(C1H(ONO2))C(OH)(OO.)Cd(OH)=Cd(NO2)C12CH3                                                                 2.NUVOOEE                    
AR0311   #mmc1Hc(CH3)c(OOH)c(OH)cHc1CH3                                                                                            RHO                      
AR0312   #mmCH3c1cHcHcHc(c1H)CO(OONO2)                                                                                             RP                            
AR0313   #mmCH3c1cHcHcHc(c1H)CO(OOH)                                                                                               RG                            
AR0314   #mmCH3c1cHcHcHc(c1H)CO(OH)                                                                                                RA                            
AR0315   #mmc1HcHcHc(O.)cHc1CH3                                                                                                    1.R                      
AR0316   #mmc1HcHcHc(OOH)cHc1CH3                                                                                                   RH                            
AR0317   #mm-O2--O-C(NO2)(C1H(OH))Cd(NO2)=Cd(CH3)C(OH)(OO.)C12CH3                                                                  2.UVVOOEE                    
AR0318   #mm-O2--O-C(NO2)(C1H(ONO2))Cd(NO2)=Cd(CH3)C(OH)(OO.)C12CH3                                                                2.NUVVOEE                    
AR0319   #mmc1Hc(CH3)c(OOH)c(NO2)cHc1CH3                                                                                           RHV                      
AR0320   #mmC1H(OH)COCdH=Cd(CH3)COC1(O.)CH3                                                                                        1.UKKO                    
AR0321   #mmC1H(OH)COCdH=Cd(CH3)COC1(OOH)CH3                                                                                       HUKKO                    
AR0322   #mmC1OC(O.)(CH3)CH(ONO2)COCdH=Cd1CH3                                                                                      1.NUKK                    
AR0323   #mmC1OCd(CH3)=CdHCOCH(ONO2)C1(OOH)CH3                                                                                     HNUKK                    
AR0324   #mm-O2--O-C(CH3)(C1H(OH))C(OH)(O.)Cd(OH)=Cd(NO2)C12CH3                                                                    1.UVOOOEE                    
AR0325   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)C(CH3)(C1H(OH))-O--O-C12CH3                                                                   HUVOOOEE                    
AR0326   #mm-O2--O-C(CH3)(C1H(ONO2))C(OH)(O.)Cd(OH)=Cd(NO2)C12CH3                                                                  1.NUVOOEE                    
AR0327   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)C(CH3)(C1H(ONO2))-O--O-C12CH3                                                                 HNUVOOEE                    
AR0328   #mm-O2--O-C(NO2)(C1H(OH))Cd(NO2)=Cd(CH3)C(OH)(O.)C12CH3                                                                   1.UVVOOEE                    
AR0329   #mmC2(OH)(OOH)Cd(CH3)=Cd(NO2)C(NO2)(C1H(OH))-O--O-C12CH3                                                                  HUVVOOEE                    
AR0330   #mm-O2--O-C(NO2)(C1H(ONO2))Cd(NO2)=Cd(CH3)C(OH)(O.)C12CH3                                                                 1.NUVVOEE                    
AR0331   #mmC2(OH)(OOH)Cd(CH3)=Cd(NO2)C(NO2)(C1H(ONO2))-O--O-C12CH3                                                                HNUVVOEE                    
AR0332   #mmc1HcHc(CH3)cHcHc1CH3                                                                                                   R                            
AR0333   #mmC1H(OH)C2H-O--O-C1(CH3)CdH=CdHC2(OO.)CH3                                                                               2.UOEE                    
AR0334   #mmCH3COCdH=CdHC1(CH3)-O-C1HCHO                                                                                           UDKE                     
AR0335   #mmc1HcHc(CH3)c(OH)cHc1CH3                                                                                                RO                            
AR0336   #mmCH3c1cHcHc(CH2(OO.))cHc1H                                                                                              2.R                      
AR0337   #mmC1H(OH)C2H-O--O-C1(CH3)CdH=CdHC2(O.)CH3                                                                                1.UOEE                    
AR0338   #mmC1H(OH)C2H-O--O-C1(CH3)CdH=CdHC2(ONO2)CH3                                                                              NUOEE                    
AR0339   #mmC1H(OH)C2H-O--O-C1(CH3)CdH=CdHC2(OOH)CH3                                                                               HUOEE                    
AR0340   #mmCH3COCH(OO.)CH(OH)C1(CH3)-O-C1HCHO                                                                                     2.DKOE                    
AR0341   #mmCH3COCdH=CdHC1(CH3)-O-C1HCO(OO.)                                                                                       3.UKKE                    
AR0342   #mmc1HcHc(CH3)c(O.)cHc1CH3                                                                                                1.R                      
AR0343   #mmC1H(OH)C2H-O--O-C1(CH3)C(OH)(OO.)CdH=Cd2CH3                                                                            2.UOOEE                    
AR0344   #mmc1HcHc(CH3)c(OH)c(OH)c1CH3                                                                                             ROO                      
AR0345   #mmC1H(ONO2)C2H-O--O-C1(CH3)C(OH)(OO.)CdH=Cd2CH3                                                                          2.NUOEE                    
AR0346   #mmCH3c1cHcHc(CH2(O.))cHc1H                                                                                               1.R                      
AR0347   #mmCH3c1cHcHc(CH2(ONO2))cHc1H                                                                                             RN                            
AR0348   #mmCH3c1cHcHc(CH2(OOH))cHc1H                                                                                              RH                            
AR0349   #mmCH3COCH(O.)CH(OH)C1(CH3)-O-C1HCHO                                                                                      1.DKOE                    
AR0350   #mmCH3COCH(ONO2)CH(OH)C1(CH3)-O-C1HCHO                                                                                    NDKOE                    
AR0351   #mmCH3COCH(OOH)CH(OH)C1(CH3)-O-C1HCHO                                                                                     HDKOE                    
AR0352   #mmCH3COCdH=CdHC1(CH3)-O-C1HCO(OONO2)                                                                                     PUKE                     
AR0353   #mmCH3COCdH=CdHC1(CH3)-O-C1HCO(OOH)                                                                                       GUKE                     
AR0354   #mmCH3COCdH=CdHC1(CH3)-O-C1HCO(OH)                                                                                        AUKE                     
AR0355   #mmc1HcHc(CH3)c(OO.)cHc1CH3                                                                                               2.R                      
AR0356   #mmc1HcHc(CH3)c(NO2)c(OH)c1CH3                                                                                            RVO                      
AR0357   #mmC1H(OH)C2H-O--O-C1(CH3)C(OH)(O.)CdH=Cd2CH3                                                                             1.UOOEE                    
AR0358   #mmC1H(OH)C2H-O--O-C1(CH3)C(OH)(OOH)CdH=Cd2CH3                                                                            HUOOEE                    
AR0359   #mmc1HcHc(CH3)c(O.)c(OH)c1CH3                                                                                             1.RO                     
AR0360   #PXCATECOOA                                                                                                               K                            
AR0361   #mmC1H(ONO2)C2H-O--O-C1(CH3)C(OH)(O.)CdH=Cd2CH3                                                                           1.NUOEE                    
AR0362   #mmC1H(ONO2)C2H-O--O-C1(CH3)C(OH)(OOH)CdH=Cd2CH3                                                                          HNUOEE                    
AR0363   #mmCH3c1cHcHc(CHO)cHc1H                                                                                                   RD                            
AR0364   #mmCH3COCOCH(OH)C1(CH3)-O-C1HCHO                                                                                          DKKOE                    
AR0365   #mmc1HcHc(CH3)c(OOH)cHc1CH3                                                                                               RH                            
AR0366   #mmc1HcHc(CH3)c(O.)c(NO2)c1CH3                                                                                            1.RV                     
AR0367   #mmC1OCdH=Cd(CH3)COCdH=Cd1CH3                                                                                             UUKK                     
AR0368   #mmc1Hc(NO2)c(CH3)c(OH)c(OH)c1CH3                                                                                         RVOO                     
AR0369   #mmc1HcHc(CH3)c(OO.)c(OH)c1CH3                                                                                            2.RO                     
AR0370   #mmCH3c1cHcHc(CO(OO.))cHc1H                                                                                               3.RK                     
AR0371   #mmc1HcHc(OO.)cHcHc1CH3                                                                                                   2.R                      
AR0372   #mmc1Hc(NO2)c(CH3)c(NO2)c(OH)c1CH3                                                                                        RVVO                     
AR0373   #mmc1HcHc(CH3)c(OO.)c(NO2)c1CH3                                                                                           2.RV                     
AR0374   #mmC1H(OH)COCd(CH3)=CdHCOC1(OO.)CH3                                                                                       2.UKKO                    
AR0375   #mmC1OCH(ONO2)C(OO.)(CH3)COCdH=Cd1CH3                                                                                     2.NUKK                    
AR0376   #mmC1H(OH)C2(NO2)-O--O-C1(CH3)C(OH)(OO.)Cd(OH)=Cd2CH3                                                                     2.UVOOOEE                    
AR0377   #mmC1H(ONO2)C2(NO2)-O--O-C1(CH3)C(OH)(OO.)Cd(OH)=Cd2CH3                                                                   2.NUVOOEE                    
AR0378   #mmc1HcHc(CH3)c(OOH)c(OH)c1CH3                                                                                            RHO                      
AR0379   #mmCH3c1cHcHc(CO(OONO2))cHc1H                                                                                             RP                            
AR0380   #mmCH3c1cHcHc(CO(OOH))cHc1H                                                                                               RG                            
AR0381   #mmCH3c1cHcHc(CO(OH))cHc1H                                                                                                RA                            
AR0382   #mmc1HcHc(O.)cHcHc1CH3                                                                                                    1.R                      
AR0383   #mmc1HcHc(OOH)cHcHc1CH3                                                                                                   RH                            
AR0384   #mmC1H(OH)C2(NO2)-O--O-C1(CH3)C(OH)(OO.)Cd(NO2)=Cd2CH3                                                                    2.UVVOOEE                    
AR0385   #mmC1H(ONO2)C2(NO2)-O--O-C1(CH3)C(OH)(OO.)Cd(NO2)=Cd2CH3                                                                  2.NUVVOEE                    
AR0386   #mmc1HcHc(CH3)c(OOH)c(NO2)c1CH3                                                                                           RHV                      
AR0387   #mmC1H(OH)COCd(CH3)=CdHCOC1(O.)CH3                                                                                        1.UKKO                    
AR0388   #mmC1H(OH)COCd(CH3)=CdHCOC1(OOH)CH3                                                                                       HUKKO                    
AR0389   #mmC1OCH(ONO2)C(O.)(CH3)COCdH=Cd1CH3                                                                                      1.NUKK                    
AR0390   #mmC1OCH(ONO2)C(OOH)(CH3)COCdH=Cd1CH3                                                                                     HNUKK                    
AR0391   #mmC1H(OH)C2(NO2)-O--O-C1(CH3)C(OH)(O.)Cd(OH)=Cd2CH3                                                                      1.UVOOOEE                    
AR0392   #mmC1H(OH)C2(NO2)-O--O-C1(CH3)C(OH)(OOH)Cd(OH)=Cd2CH3                                                                     HUVOOOEE                    
AR0393   #mmC1H(ONO2)C2(NO2)-O--O-C1(CH3)C(OH)(O.)Cd(OH)=Cd2CH3                                                                    1.NUVOOEE                    
AR0394   #mmC1H(ONO2)C2(NO2)-O--O-C1(CH3)C(OH)(OOH)Cd(OH)=Cd2CH3                                                                   HNUVOOEE                    
AR0395   #mmc1HcHc(OH)c(NO2)cHc1CH3                                                                                                RVO                      
AR0396   #mmC1H(OH)C2(NO2)-O--O-C1(CH3)C(OH)(O.)Cd(NO2)=Cd2CH3                                                                     1.UVVOOEE                    
AR0397   #mmC1H(OH)C2(NO2)-O--O-C1(CH3)C(OH)(OOH)Cd(NO2)=Cd2CH3                                                                    HUVVOOEE                    
AR0398   #mmC1H(ONO2)C2(NO2)-O--O-C1(CH3)C(OH)(O.)Cd(NO2)=Cd2CH3                                                                   1.NUVVOEE                    
AR0399   #mmC1H(ONO2)C2(NO2)-O--O-C1(CH3)C(OH)(OOH)Cd(NO2)=Cd2CH3                                                                  HNUVVOEE                    
AR0400   #mm-O2--O-CH(C1H(OH))C(OH)(OO.)Cd(NO2)=CdHC12CH3                                                                          2.UVOOEE                    
AR0401   #mm-O2--O-CH(C1H(OH))C(OH)(O.)Cd(NO2)=CdHC12CH3                                                                           1.UVOOEE                    
AR0402   #mm-O2--O-CH(C1H(OH))C(OH)(OOH)Cd(NO2)=CdHC12CH3                                                                          HUVOOEE                    
AR0403   #mmc1HcHcHcHcHc1CH2CH3                                                                                                    R                            
AR0404   #mmc1HcHcHcHcHc1CH2CH2(OO.)                                                                                               2.R                      
AR0405   #mm-O2--O-CH(C1H(OH))CH(OO.)CdH=CdHC12CH2CH3                                                                              2.UOEE                    
AR0406   #mmCH3CH2COCdH=CdHC1H-O-C1HCHO                                                                                            UDKE                     
AR0407   #mmc1HcHcHcHc(OH)c1CH2CH3                                                                                                 RO                            
AR0408   #mmc1HcHcHcHcHc1CH2CH2(O.)                                                                                                1.R                      
AR0409   #mmc1HcHcHcHcHc1CH2CH2(ONO2)                                                                                              RN                            
AR0410   #mmc1HcHcHcHcHc1CH2CH2(OOH)                                                                                               RH                            
AR0411   #mm-O2--O-CH(C1H(OH))CH(O.)CdH=CdHC12CH2CH3                                                                               1.UOEE                    
AR0412   #mm-O2--O-CH(C1H(OH))CH(ONO2)CdH=CdHC12CH2CH3                                                                             NUOEE                    
AR0413   #mm-O2--O-CH(C1H(OH))CH(OOH)CdH=CdHC12CH2CH3                                                                              HUOEE                    
AR0414   #mmCH3CH2COCdH=CdHC1H-O-C1HCO(OO.)                                                                                        3.UKKE                    
AR0415   #mmCH3CH2COCH(OO.)CH(OH)C1H-O-C1HCHO                                                                                      2.DKOE                    
AR0416   #EGLYOOB                                                                                                                  B                            
AR0417   #mmc1HcHcHcHc(O.)c1CH2CH3                                                                                                 1.R                      
AR0418   #mm-O2--O-CH(C1H(OH))C(OH)(OO.)CdH=CdHC12CH2CH3                                                                           2.UOOEE                    
AR0419   #mmc1HcHcHc(OH)c(OH)c1CH2CH3                                                                                              ROO                      
AR0420   #mm-O2--O-CH(C1H(ONO2))C(OH)(OO.)CdH=CdHC12CH2CH3                                                                         2.NUOEE                    
AR0421   #mmc1HcHcHcHcHc1CH2CHO                                                                                                    RD                            
AR0422   #mm-O1-COCdH=CdHC1HCH2CH3                                                                                                 UKE                      
AR0423   #mm-O2--O-CH(C1H(OH))COCdH=CdHC12CH2CH3                                                                                   UKOEE                    
AR0424   #mmCH3CH2COCdH=CdHC1H-O-C1HCO(OONO2)                                                                                      PUKE                     
AR0425   #mmCH3CH2COCdH=CdHC1H-O-C1HCO(OOH)                                                                                        GUKE                     
AR0426   #mmCH3CH2COCdH=CdHC1H-O-C1HCO(OH)                                                                                         AUKE                     
AR0427   #mmCH3CH2COCH(O.)CH(OH)C1H-O-C1HCHO                                                                                       1.DKOE                    
AR0428   #mmCH3CH2COCH(ONO2)CH(OH)C1H-O-C1HCHO                                                                                     NDKOE                    
AR0429   #mmCH3CH2COCH(OOH)CH(OH)C1H-O-C1HCHO                                                                                      HDKOE                    
AR0430   #EGLYOO                                                                                                                                               
AR0431   #mmc1HcHcHcHc(OO.)c1CH2CH3                                                                                                2.R                      
AR0432   #mmc1HcHcHc(NO2)c(OH)c1CH2CH3                                                                                             RVO                      
AR0433   #mm-O2--O-CH(C1H(OH))C(OH)(O.)CdH=CdHC12CH2CH3                                                                            1.UOOEE                    
AR0434   #mm-O2--O-CH(C1H(OH))C(OH)(OOH)CdH=CdHC12CH2CH3                                                                           HUOOEE                    
AR0435   #mmc1HcHcHc(OH)c(O.)c1CH2CH3                                                                                              1.RO                     
AR0436   #ECATECOOA                                                                                                                K                            
AR0437   #mm-O2--O-CH(C1H(ONO2))C(OH)(O.)CdH=CdHC12CH2CH3                                                                          1.NUOEE                    
AR0438   #mm-O2--O-CH(C1H(ONO2))C(OH)(OOH)CdH=CdHC12CH2CH3                                                                         HNUOEE                    
AR0439   #mmc1HcHcHcHcHc1CH2CO(OO.)                                                                                                3.RK                     
AR0440   #mmC1H(OH)CH(OO.)CO-O-C1HCH2CH3                                                                                           2.KOE                    
AR0441   #mmC1H(ONO2)CH(OO.)CO-O-C1HCH2CH3                                                                                         2.NKE                    
AR0442   #mmCH3CH2COCOCH(OH)C1H-O-C1HCHO                                                                                           DKKOE                    
AR0443   #mmc1HcHcHcHc(OOH)c1CH2CH3                                                                                                RH                            
AR0444   #mmc1HcHcHc(NO2)c(O.)c1CH2CH3                                                                                             1.RV                     
AR0445   #mmC1OCdH=CdHCOCdH=Cd1CH2CH3                                                                                              UUKK                     
AR0446   #mmc1HcHc(NO2)c(OH)c(OH)c1CH2CH3                                                                                          RVOO                     
AR0447   #mmc1HcHcHc(OH)c(OO.)c1CH2CH3                                                                                             2.RO                     
AR0448   #mmc1HcHcHcHcHc1CH2CO(OONO2)                                                                                              RP                            
AR0449   #mmc1HcHcHcHcHc1CH2CO(OOH)                                                                                                RG                            
AR0450   #mmc1HcHcHcHcHc1CH2CO(OH)                                                                                                 RA                            
AR0451   #mmC1H(OH)CH(O.)CO-O-C1HCH2CH3                                                                                            1.KOE                    
AR0452   #mmC1H(OH)CH(OOH)CO-O-C1HCH2CH3                                                                                           HKOE                     
AR0453   #mmC1H(ONO2)CH(O.)CO-O-C1HCH2CH3                                                                                          1.NKE                    
AR0454   #mmC1H(ONO2)CH(OOH)CO-O-C1HCH2CH3                                                                                         HNKE                     
AR0455   #mmc1Hc(NO2)cHc(NO2)c(OH)c1CH2CH3                                                                                         RVVO                     
AR0456   #mmc1HcHcHc(NO2)c(OO.)c1CH2CH3                                                                                            2.RV                     
AR0457   #PEBQO2                                                                                                                   B                            
AR0458   #mmC1OCH(ONO2)CH(OO.)COCdH=Cd1CH2CH3                                                                                      2.NUKK                    
AR0459   #mm-O2--O-CH(C1H(OH))Cd(NO2)=Cd(OH)C(OH)(OO.)C12CH2CH3                                                                    2.UVOOOEE                    
AR0460   #mm-O2--O-CH(C1H(ONO2))Cd(NO2)=Cd(OH)C(OH)(OO.)C12CH2CH3                                                                  2.NUVOOEE                    
AR0461   #mmc1HcHcHc(OH)c(OOH)c1CH2CH3                                                                                             RHO                      
AR0462   #mmC1OCH(ONO2)CO-O-C1HCH2CH3                                                                                              NKKE                     
AR0463   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C(OH)(OO.)C12CH2CH3                                                                   2.UVVOOEE                    
AR0464   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C(OH)(OO.)C12CH2CH3                                                                 2.NUVVOEE                    
AR0465   #mmc1HcHcHc(NO2)c(OOH)c1CH2CH3                                                                                            RHV                      
AR0466   #PEBQO                                                                                                                    B                            
AR0467   #PEBQOOH                                                                                                                  B                            
AR0468   #mmC1OCH(ONO2)CH(O.)COCdH=Cd1CH2CH3                                                                                       1.NUKK                    
AR0469   #mmC1OCH(ONO2)CH(OOH)COCdH=Cd1CH2CH3                                                                                      HNUKK                    
AR0470   #mm-O2--O-CH(C1H(OH))Cd(NO2)=Cd(OH)C(OH)(O.)C12CH2CH3                                                                     1.UVOOOEE                    
AR0471   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)CH(C1H(OH))-O--O-C12CH2CH3                                                                    HUVOOOEE                    
AR0472   #mm-O2--O-CH(C1H(ONO2))Cd(NO2)=Cd(OH)C(OH)(O.)C12CH2CH3                                                                   1.NUVOOEE                    
AR0473   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)CH(C1H(ONO2))-O--O-C12CH2CH3                                                                  HNUVOOEE                    
AR0474   #mmC1H(OH)COCO-O-C1HCH2CH3                                                                                                KKOE                     
AR0475   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C(OH)(O.)C12CH2CH3                                                                    1.UVVOOEE                    
AR0476   #mmC2(OH)(OOH)Cd(NO2)=CdHC(NO2)(C1H(OH))-O--O-C12CH2CH3                                                                   HUVVOOEE                    
AR0477   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C(OH)(O.)C12CH2CH3                                                                  1.NUVVOEE                    
AR0478   #mmC2(OH)(OOH)Cd(NO2)=CdHC(NO2)(C1H(ONO2))-O--O-C12CH2CH3                                                                 HNUVVOEE                    
AR0479   #PEBQCO                                                                                                                   B                            
AR0480   #mmCH3CH2Cd(CO(OH))=Cd(NO2)CHO                                                                                            AUDV                     
AR0481   #mmCHOCd(NO2)=Cd(CO(O.))CH2CH3                                                                                            1.UDVK                    
AR0482   #mmC1O-O-COCdH=Cd1CH2CH3                                                                                                  UKKE                     
AR0483   #mmC1H(OH)CO-O-COC1(OO.)CH2CH3                                                                                            2.KKOE                    
AR0484   #mmC1H(OH)CO-O-COC1(O.)CH2CH3                                                                                             1.KKOE                    
AR0485   #mmC1H(OH)CO-O-COC1(OOH)CH2CH3                                                                                            HKKOE                    
AR0486   #mmc1HcHcHcHcHc1CdH=CdH2                                                                                                  RU                            
AR0487   #mmc1HcHcHcHcHc1CH(OH)CH2(OO.)                                                                                            2.RO                     
AR0488   #mmc1HcHcHcHcHc1CH(OO.)CH2(ONO2)                                                                                          2.RN                     
AR0489   #CH2OOB                                                                                                                                               
AR0490   #PHCHOOA                                                                                                                                              
AR0491   #mmc1HcHcHcHcHc1CH(OH)CH2(O.)                                                                                             1.RO                     
AR0492   #mmc1HcHcHcHcHc1CH(OH)CH2(OOH)                                                                                            RHO                      
AR0493   #mmc1HcHcHcHcHc1CH(O.)CH2(ONO2)                                                                                           1.RN                     
AR0494   #mmc1HcHcHcHcHc1CH(OOH)CH2(ONO2)                                                                                          RHN                      
AR0495   #CH2OO                                                                                                                                                
AR0496   #PHCHOO                                                                                                                   D                            
AR0497   #mmc1HcHcHcHcHc1CH2CH2CH3                                                                                                 R                            
AR0498   #mmc1HcHcHcHcHc1CH(OO.)CH2CH3                                                                                             2.R                      
AR0499   #mm-O2--O-CH(C1H(OH))CH(OO.)CdH=CdHC12CH2CH2CH3                                                                           2.UOEE                    
AR0500   #mmCH3CH2CH2COCdH=CdHC1H-O-C1HCHO                                                                                         UDKE                     
AR0501   #mmc1HcHcHcHc(OH)c1CH2CH2CH3                                                                                              RO                            
AR0502   #mmc1HcHcHcHcHc1CH(O.)CH2CH3                                                                                              1.R                      
AR0503   #mmc1HcHcHcHcHc1CH(ONO2)CH2CH3                                                                                            RN                            
AR0504   #mmc1HcHcHcHcHc1CH(OOH)CH2CH3                                                                                             RH                            
AR0505   #mm-O2--O-CH(C1H(OH))CH(O.)CdH=CdHC12CH2CH2CH3                                                                            1.UOEE                    
AR0506   #mmC1H(OH)C2H-O--O-C1(CH2CH2CH3)CdH=CdHC2H(ONO2)                                                                          NUOEE                    
AR0507   #mmC1H(OH)C2H-O--O-C1(CH2CH2CH3)CdH=CdHC2H(OOH)                                                                           HUOEE                    
AR0508   #mmCH3CH2CH2COCdH=CdHC1H-O-C1HCO(OO.)                                                                                     3.UKKE                    
AR0509   #mmCH3CH2CH2COCH(OO.)CH(OH)C1H-O-C1HCHO                                                                                   2.DKOE                    
AR0510   #PGLOOA                                                                                                                                               
AR0511   #mmc1HcHcHcHc(O.)c1CH2CH2CH3                                                                                              1.R                      
AR0512   #mm-O2--O-CH(C1H(OH))C(OH)(OO.)CdH=CdHC12CH2CH2CH3                                                                        2.UOOEE                    
AR0513   #mmc1HcHcHc(OH)c(OH)c1CH2CH2CH3                                                                                           ROO                      
AR0514   #mm-O2--O-CH(C1H(ONO2))C(OH)(OO.)CdH=CdHC12CH2CH2CH3                                                                      2.NUOEE                    
AR0515   #mmc1HcHcHcHcHc1COCH2CH3                                                                                                  RK                            
AR0516   #mm-O1-COCdH=CdHC1HCH2CH2CH3                                                                                              UKE                      
AR0517   #mmC1H(OH)C2H-O--O-C1(CH2CH2CH3)CdH=CdHC2O                                                                                UOEE                     
AR0518   #mmCH3CH2CH2COCdH=CdHC1H-O-C1HCO(OONO2)                                                                                   PUKE                     
AR0519   #mmCH3CH2CH2COCdH=CdHC1H-O-C1HCO(OOH)                                                                                     GUKE                     
AR0520   #mmCH3CH2CH2COCdH=CdHC1H-O-C1HCO(OH)                                                                                      AUKE                     
AR0521   #mmCH3CH2CH2COCH(O.)CH(OH)C1H-O-C1HCHO                                                                                    1.DKOE                    
AR0522   #mmCH3CH2CH2COCH(ONO2)CH(OH)C1H-O-C1HCHO                                                                                  NDKOE                    
AR0523   #mmCH3CH2CH2COCH(OOH)CH(OH)C1H-O-C1HCHO                                                                                   HDKOE                    
AR0524   #PGLOO                                                                                                                                                
AR0525   #mmc1HcHcHcHc(OO.)c1CH2CH2CH3                                                                                             2.R                      
AR0526   #mmc1HcHcHc(NO2)c(OH)c1CH2CH2CH3                                                                                          RVO                      
AR0527   #mm-O2--O-CH(C1H(OH))C(OH)(O.)CdH=CdHC12CH2CH2CH3                                                                         1.UOOEE                    
AR0528   #mmC2(OH)(OOH)CdH=CdHC1(CH2CH2CH3)-O--O-C2HC1H(OH)                                                                        HUOOEE                    
AR0529   #mmc1HcHcHc(OH)c(O.)c1CH2CH2CH3                                                                                           1.RO                     
AR0530   #PCATECOOA                                                                                                                K                            
AR0531   #mm-O2--O-CH(C1H(ONO2))C(OH)(O.)CdH=CdHC12CH2CH2CH3                                                                       1.NUOEE                    
AR0532   #mmC1H(ONO2)C2H-O--O-C1(CH2CH2CH3)CdH=CdHC2(OH)(OOH)                                                                      HNUOEE                    
AR0533   #mmc1HcHcHcHcHc1COCH(OO.)CH3                                                                                              2.RK                     
AR0534   #mmC1H(OH)CH(OO.)CO-O-C1HCH2CH2CH3                                                                                        2.KOE                    
AR0535   #mmC1H(ONO2)CH(OO.)CO-O-C1HCH2CH2CH3                                                                                      2.NKE                    
AR0536   #mmCH3CH2CH2COCOCH(OH)C1H-O-C1HCHO                                                                                        DKKOE                    
AR0537   #mmc1HcHcHcHc(OOH)c1CH2CH2CH3                                                                                             RH                            
AR0538   #mmc1HcHcHc(NO2)c(O.)c1CH2CH2CH3                                                                                          1.RV                     
AR0539   #mmC1OCdH=CdHCOCdH=Cd1CH2CH2CH3                                                                                           UUKK                     
AR0540   #mmc1HcHc(NO2)c(OH)c(OH)c1CH2CH2CH3                                                                                       RVOO                     
AR0541   #mmc1HcHcHc(OH)c(OO.)c1CH2CH2CH3                                                                                          2.RO                     
AR0542   #mmc1HcHcHcHcHc1COCH(O.)CH3                                                                                               1.RK                     
AR0543   #mmc1HcHcHcHcHc1COCH(OOH)CH3                                                                                              RHK                      
AR0544   #mmC1H(OH)CH(O.)CO-O-C1HCH2CH2CH3                                                                                         1.KOE                    
AR0545   #mmC1H(OH)CH(OOH)CO-O-C1HCH2CH2CH3                                                                                        HKOE                     
AR0546   #mmC1H(ONO2)CH(O.)CO-O-C1HCH2CH2CH3                                                                                       1.NKE                    
AR0547   #mmC1H(ONO2)CH(OOH)CO-O-C1HCH2CH2CH3                                                                                      HNKE                     
